Fecha,Aeropuerto,Pasajeros,Capacidad,LoadFactor
2014-06-01,Aeropuerto Isla de Pascua,312,422.25,73.8898756660746
2014-06-01,Aeropuerto Punta Arenas,114,267.9,42.55319148936171
2014-06-01,Chacalluta - Aeropuerto,231,1008.5,22.90530490827962
2014-07-01,Aeropuerto C. Arturo Merino Benítez,302627.71,382713.75,79.07416705043914
2014-07-01,Aeropuerto Cerro Moreno,391,904.6499999999999,43.22113524567513
2014-07-01,Aeropuerto Diego Aracena,1682,2299.3999999999996,73.14951726537359
2014-07-01,Aeropuerto Isla de Pascua,462,453.75,101.81818181818181
2014-07-01,Aeropuerto Punta Arenas,98,280,35
2014-07-01,Chacalluta - Aeropuerto,0,1008.5,0
2014-08-01,Aeropuerto C. Arturo Merino Benítez,311060.66,395537.64999999997,78.6424907970202
2014-08-01,Aeropuerto Cerro Moreno,45,904.6499999999999,4.9742994528270605
2014-08-01,Aeropuerto Diego Aracena,1718,2305.45,74.5190743672602
2014-08-01,Aeropuerto Isla de Pascua,253,453.75,55.757575757575765
2014-08-01,Aeropuerto Punta Arenas,266,357.19999999999993,74.468085106383
2014-08-01,Chacalluta - Aeropuerto,0,1008.5,0
2014-09-01,Aeropuerto C. Arturo Merino Benítez,276764.07,394924.2,70.08030148570282
2014-09-01,Aeropuerto Diego Aracena,1697,2305.45,73.60818929059403
2014-09-01,Aeropuerto Isla de Pascua,317,453.75,69.86225895316804
2014-09-01,Aeropuerto Punta Arenas,134,371.8499999999999,36.036036036036045
2014-09-01,Chacalluta - Aeropuerto,479,1008.5,47.49628160634606
2014-10-01,Aeropuerto C. Arturo Merino Benítez,269604.44,389713.7,69.18012889975384
2014-10-01,Aeropuerto Diego Aracena,1464,2291.1499999999996,63.898042467756376
2014-10-01,Aeropuerto Isla de Pascua,254,453.75,55.97796143250689
2014-10-01,Aeropuerto La Florida,0,0,NA
2014-10-01,Aeropuerto Punta Arenas,136,369.29999999999995,36.82642837801246
2014-10-01,Chacalluta - Aeropuerto,401,1008.5,39.76202280614775
2014-11-01,Aeropuerto C. Arturo Merino Benítez,302313.83,393467.55,76.83323059296758
2014-11-01,Aeropuerto Diego Aracena,1678,2291.1499999999996,73.23833009623989
2014-11-01,Aeropuerto Isla de Pascua,426,453.75,93.88429752066115
2014-11-01,Aeropuerto Punta Arenas,226,418.79999999999995,53.96370582617001
2014-11-01,Chacalluta - Aeropuerto,424,1008.5,42.0426375805652
2014-12-01,Aeropuerto C. Arturo Merino Benítez,322532.66,407089.44999999995,79.22894096125557
2014-12-01,Aeropuerto Carriel Sur,168,168,100
2014-12-01,Aeropuerto Diego Aracena,1891,2272.5,83.21232123212322
2014-12-01,Aeropuerto Isla de Pascua,447,453.75,98.51239669421487
2014-12-01,Aeropuerto La Florida,167,167,100
2014-12-01,Aeropuerto Punta Arenas,227,197.29999999999995,115.05321844906237
2014-12-01,Chacalluta - Aeropuerto,2185,1546.999999999999,141.2411118293472
2015-01-01,Aeropuerto C. Arturo Merino Benítez,286027.85,399072.55,71.67314564732654
2015-01-01,Aeropuerto Diego Aracena,2917,3166.6499999999996,92.1162742961805
2015-01-01,Aeropuerto Isla de Pascua,294,453.75,64.79338842975207
2015-01-01,Aeropuerto Punta Arenas,233,234.54999999999998,99.33916009379664
2015-01-01,Chacalluta - Aeropuerto,3367,2716.899999999999,123.92800618351802
2015-02-01,Aeropuerto C. Arturo Merino Benítez,343680.13,411377.25,83.5437861476297
2015-02-01,Aeropuerto Diego Aracena,3388,3893.2999999999993,87.0212929905222
2015-02-01,Aeropuerto Isla de Pascua,358,453.75,78.89807162534436
2015-02-01,Aeropuerto Punta Arenas,118,233.39999999999998,50.55698371893745
2015-02-01,Chacalluta - Aeropuerto,2832,3072.7499999999995,92.16499877959484
2015-03-01,Aeropuerto C. Arturo Merino Benítez,337664.17,409137.25,82.53078154091322
2015-03-01,Aeropuerto Diego Aracena,2382,3292.9999999999995,72.33525660491954
2015-03-01,Aeropuerto Isla de Pascua,488,473.7,103.01878826261348
2015-03-01,Aeropuerto Punta Arenas,233,233,100
2015-03-01,Chacalluta - Aeropuerto,244,3072.7499999999995,7.940769668863397
2015-04-01,Aeropuerto C. Arturo Merino Benítez,272123.31,400426.85,67.95830749111855
2015-04-01,Aeropuerto Diego Aracena,1999,3287.0999999999995,60.81348300933955
2015-04-01,Aeropuerto Isla de Pascua,288,473.7,60.79797340088664
2015-04-01,Aeropuerto Punta Arenas,116,233,49.78540772532189
2015-05-01,Aeropuerto C. Arturo Merino Benítez,283396.97,395757.14999999997,71.60880605694679
2015-05-01,Aeropuerto Diego Aracena,2040,3327.8499999999995,61.30083988160525
2015-05-01,Aeropuerto Isla de Pascua,269,473.7,56.78699598902259
2015-05-01,Aeropuerto La Florida,48,48,100
2015-05-01,Aeropuerto Punta Arenas,149,237.85,62.644523859575365
2015-06-01,Aeropuerto C. Arturo Merino Benítez,281872.18,394473.55,71.45528008151624
2015-06-01,Aeropuerto Carriel Sur,0,0,NA
2015-06-01,Aeropuerto Cerro Moreno,63,63,100
2015-06-01,Aeropuerto Diego Aracena,1853,3277.45,56.53785717554807
2015-06-01,Aeropuerto Isla de Pascua,315,473.7,66.49778340721976
2015-06-01,Aeropuerto La Florida,697,697,100
2015-06-01,Aeropuerto Maquehue,122,122,100
2015-06-01,Aeropuerto Punta Arenas,68,234,29.059829059829063
2015-06-01,Chacalluta - Aeropuerto,2,3126.2499999999995,0.06397441023590565
2015-07-01,Aeropuerto C. Arturo Merino Benítez,325536.77,397937.05,81.80609722065337
2015-07-01,Aeropuerto Carriel Sur,0,0,NA
2015-07-01,Aeropuerto Diego Aracena,2799,2953.3499999999995,94.77373152521714
2015-07-01,Aeropuerto Isla de Pascua,377,465.44999999999993,80.9968847352025
2015-07-01,Aeropuerto Punta Arenas,113,237.8,47.51892346509672
2015-08-01,Aeropuerto C. Arturo Merino Benítez,339171.91,399795.35,84.8363819138967
2015-08-01,Aeropuerto Diego Aracena,2235,2967.75,75.30957796310335
2015-08-01,Aeropuerto Isla de Pascua,260,465.44999999999993,55.85992050703621
2015-08-01,Aeropuerto Punta Arenas,149,234.95,63.41774845711854
2015-09-01,Aeropuerto C. Arturo Merino Benítez,275423.7,403865.6,68.19687044402892
2015-09-01,Aeropuerto Diego Aracena,2424,3016.5499999999997,80.35669887785716
2015-09-01,Aeropuerto Isla de Pascua,285,465.44999999999993,61.231066709635854
2015-09-01,Aeropuerto Punta Arenas,110,233,47.21030042918455
2015-10-01,Aeropuerto C. Arturo Merino Benítez,309540.72,398869,77.60460702636705
2015-10-01,Aeropuerto Diego Aracena,2207,3037.45,72.65963225732112
2015-10-01,Aeropuerto Isla de Pascua,306,465.44999999999993,65.74282951981954
2015-10-01,Aeropuerto Punta Arenas,186,234.9,79.18263090676884
2015-11-01,Aeropuerto C. Arturo Merino Benítez,330762.64,406155.69999999995,81.43739949974851
2015-11-01,Aeropuerto Diego Aracena,2137,3202.0499999999997,66.73849565122345
2015-11-01,Aeropuerto Isla de Pascua,418,465.44999999999993,89.8055645074659
2015-11-01,Aeropuerto Punta Arenas,127,233,54.506437768240346
2015-12-01,Aeropuerto C. Arturo Merino Benítez,281154.05,410942.69999999995,68.41684984305599
2015-12-01,Aeropuerto Carriel Sur,327,327,100
2015-12-01,Aeropuerto Diego Aracena,2087,2697.75,77.36076359929571
2015-12-01,Aeropuerto Isla de Pascua,642,557.2999999999998,115.19827740893598
2015-12-01,Aeropuerto La Florida,0,0,NA
2015-12-01,Aeropuerto Punta Arenas,206,233,88.41201716738198
2016-01-01,Aeropuerto C. Arturo Merino Benítez,389009.26,425587.8,91.4051718587798
2016-01-01,Aeropuerto Cerro Moreno,1508,1508,100
2016-01-01,Aeropuerto Diego Aracena,3736,4041.1,92.45007547449951
2016-01-01,Aeropuerto Isla de Pascua,332,557.2999999999998,59.57294096536876
2016-01-01,Aeropuerto Punta Arenas,411,322.0499999999999,127.61993479273409
2016-02-01,Aeropuerto C. Arturo Merino Benítez,338824.2,435602.35,77.78291370558493
2016-02-01,Aeropuerto Cerro Moreno,1719,1708.45,100.61751880359391
2016-02-01,Aeropuerto Diego Aracena,3060,4068.8,75.20644907589461
